page,new_title,new_meta_description,new_h1,notes
https://expat-savvy.ch/blog/accident-insurance-switzerland-uvg-laa/,Accident Insurance Switzerland | Expert Guide 2025,Learn about Swiss accident insurance (UVG/LAA). Independent FINMA-certified advice for expats — understand coverage and avoid double payments.,Accident Insurance in Switzerland — Expert Guide,"title too long, description too long, h1 too long"
https://expat-savvy.ch/blog/decoding-swiss-health-insurance-canton-region-premium/,Canton Premiums Switzerland | Expert Guide 2025,Understand Swiss health insurance premium regions. Independent FINMA-certified advice for expats — save money with location strategy.,Canton Premiums in Switzerland — Expert Guide,"title too long, description too long, h1 too long"
https://expat-savvy.ch/healthcare/all-insurances/css/,CSS Health Insurance Switzerland | Expert Guide 2025,Compare CSS health insurance for expats. Independent FINMA-certified advice — find the best coverage and group discounts.,CSS Health Insurance — Expert Guide,"title too long, description too long"
https://expat-savvy.ch/healthcare/all-insurances/helsana/,Helsana Health Insurance Switzerland | Expert Guide 2025,Compare Helsana health insurance for expats. Independent FINMA-certified advice — find the best coverage and group discounts.,Helsana Health Insurance — Expert Guide,"title too long, description too long"
https://expat-savvy.ch/healthcare/all-insurances/assura/,Assura Health Insurance Switzerland | Expert Guide 2025,Compare Assura health insurance for expats. Independent FINMA-certified advice — find the best coverage and group discounts.,Assura Health Insurance — Expert Guide,"title too long, description too long"
https://expat-savvy.ch/healthcare/all-insurances/sanitas/,Sanitas Health Insurance Switzerland | Expert Guide 2025,Compare Sanitas health insurance for expats. Independent FINMA-certified advice — find the best coverage and group discounts.,Sanitas Health Insurance — Expert Guide,"title too long, description too long"
https://expat-savvy.ch/healthcare/all-insurances/swica/,SWICA Health Insurance Switzerland | Expert Guide 2025,Compare SWICA health insurance for expats. Independent FINMA-certified advice — find the best coverage and group discounts.,SWICA Health Insurance — Expert Guide,"title too long, description too long"
https://expat-savvy.ch/blog/expat-family-matters-best-swiss-health-insurers-children-maternity/,Swiss Family Health Insurance | Expert Guide 2025,Find the best Swiss health insurance for families. Independent FINMA-certified advice for expats — optimize coverage and save money.,Swiss Family Health Insurance — Expert Guide,"title too long, description too long, duplicate pattern"
https://expat-savvy.ch/healthcare/switching-health-insurance/,Switch Health Insurance Switzerland | Expert Guide 2025,Switch your Swiss health insurance with expert help. Independent FINMA-certified advice for expats — save money and improve coverage.,Switch Health Insurance Switzerland — Expert Guide,"title too long, description too long"
https://expat-savvy.ch/blog/health-insurance-models-switzerland/,Swiss Health Insurance Models | Expert Guide 2025,"Compare Swiss health insurance models (HMO, GP, Telmed). Independent FINMA-certified advice for expats — find the best fit.",Swiss Health Insurance Models — Expert Guide,"title too long, description too long, h1 too long"
https://expat-savvy.ch/blog/dental-insurance-expats-switzerland/,Dental Insurance Switzerland | Expert Guide 2025,Find the best dental insurance in Switzerland for expats. Independent FINMA-certified advice — compare costs and coverage options.,Dental Insurance in Switzerland — Expert Guide,title too long
https://expat-savvy.ch/blog/zurich-vs-zug-choosing-ideal-swiss-relocation-destination/,Zurich vs Zug | Expert Comparison 2025,Compare Zurich vs Zug for expats relocating to Switzerland. Independent FINMA-certified advice — find your perfect Swiss city.,Zurich vs Zug — Expert Comparison,"title too long, description too long, h1 too long"
https://expat-savvy.ch/blog/mental-health-services-switzerland/,Mental Health Services Switzerland | Expert Guide 2025,Find mental health services in Switzerland for expats. Independent FINMA-certified advice — access therapy and support in English.,Mental Health Services in Switzerland — Expert Guide,"title too long, description too long, h1 too long"
https://expat-savvy.ch/blog/maternity-newborn-insurance-switzerland/,Maternity Insurance Switzerland | Expert Guide 2025,Find the best maternity insurance in Switzerland for expats. Independent FINMA-certified advice — secure coverage for your family.,Maternity Insurance in Switzerland — Expert Guide,"title too long, description too long, h1 too long"
https://expat-savvy.ch/guides/how-to/pre-existing-conditions-health-insurance/,Pre-existing Conditions Insurance | Expert Guide 2025,Get Swiss health insurance with pre-existing conditions. Independent FINMA-certified advice for expats — maximize acceptance chances.,Pre-existing Conditions Insurance — Expert Guide,"title too long, description too long, duplicate pattern"
